no,midashi,honbun,category,img,link
1,20兆円市場争奪 リアル店舗の逆襲でＥＣ大乱戦,日本のｅコマース（EC＝電子商取引）は楽天・アマゾンが寡占している──。そう思う人もいるだろう。だが、現実は違う。「BtoC（企業対消費者）」「CtoC（消費…,business,1,http://www.nikkei.com/article/DGXMZO75310000W4A800C1000000/
2,日経平均続伸 終値30円高の１万5161円,12日の東京株式市場で日経平均株価は小幅に続伸。終値は前日比30円79銭（0.20％）高の１万5161円31銭だった。ウクライナや中東などの海外情勢の先行きに対する過度な警戒が後退し、前日の欧米株が…,marketing,2,http://www.nikkei.com/markets/kabu/summary.aspx?g=DGXLAS3LTSEC1_12082014000000
3,強い国より気品ある国に  （稲盛和夫氏の経営者ブログ） ,"日本経済はようやく長いトンネルから抜け出しましたが、「経済大国の夢よ、もう一度」という考え方は時代錯誤です。21世紀に入って新興国の台頭が著しく、世界は将来ますます多極化します。その中で日本は何をよりどころにして生きて行くべきでしょうか。

 私は日本人に本来備わっている美点を見いだすことから始めるべきだと考えています。手前みそと思われるかもしれませんが、日本人は世界的に見ても素晴らしい気質をもった…",business,3,http://www.nikkei.com/article/DGXMZO75309070W4A800C1000000/
4,動くＧＰＩＦ 日本株に6.5兆円流入か,７日午後の東京株式市場。日経平均株価が軟調な中、１つのニュースが空気を一変させた。「年金積立金管理運用独立行政法人（ＧＰＩＦ）改革で、日本株は20％超へ調整」。ＧＰＩＦが日本株を積み増す…,money,4,http://www.nikkei.com/money/features/29.aspx?g=DGXLASFZ06H2G_07082014000000
5,天引きこそ王道 サラリーマン資産形成の心理学,証券会社のサラリーマンだった私が、自分の資産づくりを振り返ってつくづく思うことがあります。将来のため確実にお金を準備していくには…,money,5,http://www.nikkei.com/money/features/68.aspx?g=DGXMZO7535224007082014000000
6,「お得な保険」あると信じたい消費者心理,人は他人に何かを相談する際、自分が期待する答えを求めていることがあります。保険の世界でも、こうした消費者をたくさん目にします。私がセミナーで質問を受けたり個別相談に応じたりする際、皆さんにがっかりさ…,money,6,http://www.nikkei.com/money/household/hokenhonto.aspx?g=DGXMZO7535223007082014000000
7,大盛況ＵＳＪ 仕掛け人が明かす「ヒットの法則」 ,映画「ハリー・ポッター」をテーマにした新エリアが話題を呼ぶユニバーサル・スタジオ・ジャパン（ＵＳＪ、大阪市）。入場者数も右肩上がりに伸び、2013年度は105,tech,7,http://www.nikkei.com/article/DGXMZO75315130W4A800C1000000/
8,風を読むスゴイ技術 風力発電普及の裏にＩＴあり,風力発電に必要なのは一にも二にも風だ。そこで観測データや地形から風向や風量を予測する「風況シミュレーション」が欠かせないが現在、約1900基を超える国内の風力発電機の半数以上に採用されているのが伊藤忠テクノソリューションズ（ＣＴＣ）の風況関連技術だ。本業の情報システムを再生可能エネルギー分野に応用する手法としても注目される。,tech,8,http://www.nikkei.com/article/DGXLASDZ11H2J_R10C14A8000000/
9,ネットがくすぐる学習意欲 教育革命、日本でも,先日、フェイスブックで友人のタイムラインに「着席しました」という表示が出ていた。「これは一体？」と思ってクリックすると、法政大学の「ｓｃｈｏｏ（スクー）」という“インターネット学校”が現れた。 登録は無料で可能。生放送で「生き方・働き方の技法」と題した講義が始まった。法政大の田中研之輔准教授がフリーアナウンサーの堤信子さんをゲストに迎えて「仕事のあり方」の授業を展開しており、思わず１時間見てしまった。,tech,9,http://www.nikkei.com/article/DGXMZO75468050Z00C14A8H56A00/
10,勢い増す東南アの華人マネー、日本企業に新たな商機 ,東南アジアから世界への直接投資が膨らんでいる。米調査会社ディールロジックによると、東南アジア諸国連合（ＡＳＥＡＮ）の主要５カ国の企業によるＡＳＥＡＮ域外へのＭ＆Ａ（合併・買収）は2014年１～６月、発表ベースで過去最高の計264億ドルに達した。中国大陸がルーツの華人が所有・経営する企業の案件が目立つ。勢いを増す東南アジアの華人マネーの実態を探った。,business,10,http://www.nikkei.com/article/DGXMZO75503650R10C14A8I00000/
11,注目の輸入車６車種を解剖 燃費性能高まる,"消費増税以降、販売にやや元気がない外国メーカー製の輸入車。ただ高価格帯の商品が多いのに踏ん張っているのは、魅力的な新車が相次いでいるからだろう。ガソリン価格が高騰しているが、最近の輸入車は全般的に燃費性能も高まってきており、カタログ値と実際に走行した際の差が少ないのも特徴だ。

 炭素繊維強化プラスチック（ＣＦＲＰ）製ボディーにアルミ合金骨格の電気自動車「ｉ３」（ビー・エム・ダブリュー）、フォード最…",business,11,http://www.nikkei.com/article/DGXMZO75496720R10C14A8000000/
12,減量でリバウンドする人しない人 運動量に差,転職がうまくいくことは家計や将来の余裕をつくり、公的年金も増額します（保険料を多く払うと年金は確実に増える）。キャリアは老後をにらんでも、とても重要な問題です。…,life,12,http://www.nikkei.com/article/DGXDZO75469470Z00C14A8MZ4001/
